[2026-07-05T05:39:07.793Z] GET http://localhost:8471/js/main.js → 200 (1ms, ?B)
[2026-07-05T05:39:07.793Z] GET http://localhost:8471/js/render/planets.js → 200 (1ms, ?B)
[2026-07-05T05:39:07.828Z] GET http://localhost:8471/?tex=1 → 200 (1ms, ?B)
[2026-07-05T05:39:07.831Z] GET http://localhost:8471/css/main.css → 200 (?ms, -186B)
[2026-07-05T05:39:07.831Z] GET http://localhost:8471/js/main.js → 200 (?ms, -193B)
[2026-07-05T05:39:07.832Z] GET http://localhost:8471/js/scale.js → 200 (?ms, -193B)
[2026-07-05T05:39:07.832Z] GET http://localhost:8471/js/journey.js → 200 (?ms, -193B)
[2026-07-05T05:39:07.832Z] GET http://localhost:8471/js/render/starfield.js → 200 (?ms, -193B)
[2026-07-05T05:39:07.832Z] GET http://localhost:8471/js/render/planets.js → 200 (?ms, -194B)
[2026-07-05T05:39:07.832Z] GET http://localhost:8471/js/render/particles.js → 200 (?ms, -193B)
[2026-07-05T05:39:07.832Z] GET http://localhost:8471/js/video.js → 200 (?ms, -193B)
[2026-07-05T05:39:07.832Z] GET http://localhost:8471/js/render/rand.js → 200 (?ms, -192B)
[2026-07-05T05:39:07.853Z] GET http://localhost:8471/data/exoplanets.json → 200 (14ms, -196B)
[2026-07-05T05:39:07.853Z] GET http://localhost:8471/media/launch.jpg → 200 (?ms, -189B)
[2026-07-05T05:39:07.853Z] GET http://localhost:8471/media/jupiter.jpg → 200 (?ms, -189B)
[2026-07-05T05:39:07.853Z] GET http://localhost:8471/media/saturn.jpg → 200 (?ms, -189B)
[2026-07-05T05:39:07.853Z] GET http://localhost:8471/media/heliopause.jpg → 200 (?ms, -188B)
[2026-07-05T05:39:07.853Z] GET http://localhost:8471/media/trappist.jpg → 200 (1ms, -189B)
[2026-07-05T05:39:07.854Z] GET http://localhost:8471/media/rogue.jpg → 200 (?ms, -189B)
[2026-07-05T05:39:07.854Z] GET http://localhost:8471/media/finale.jpg → 200 (?ms, -189B)
[2026-07-05T05:39:07.854Z] GET http://localhost:8471/assets/textures/mercury.jpg → 200 (11ms, 180651B)
[2026-07-05T05:39:07.854Z] GET http://localhost:8471/assets/textures/venus_atmosphere.jpg → 200 (11ms, 53278B)
[2026-07-05T05:39:07.854Z] GET http://localhost:8471/assets/textures/earth_daymap.jpg → 200 (11ms, 100124B)
[2026-07-05T05:39:07.854Z] GET http://localhost:8471/assets/textures/mars.jpg → 200 (11ms, 138580B)
[2026-07-05T05:39:07.854Z] GET http://localhost:8471/assets/textures/jupiter.jpg → 200 (11ms, 107416B)
[2026-07-05T05:39:07.854Z] GET http://localhost:8471/assets/textures/saturn.jpg → 200 (11ms, 49600B)
[2026-07-05T05:39:07.854Z] GET http://localhost:8471/assets/textures/uranus.jpg → 200 (11ms, 20183B)
[2026-07-05T05:39:07.855Z] GET http://localhost:8471/assets/textures/neptune.jpg → 200 (10ms, 32417B)
[2026-07-05T05:39:07.855Z] GET http://localhost:8471/assets/textures/moon.jpg → 200 (10ms, 217917B)
[2026-07-05T05:39:07.867Z] GET http://localhost:8471/media/launch.mp4 → 206 (?ms, -240B)
[2026-07-05T05:39:07.867Z] GET http://localhost:8471/media/jupiter.mp4 → 206 (?ms, ?B)
[2026-07-05T05:39:07.867Z] GET http://localhost:8471/media/saturn.mp4 → 206 (?ms, ?B)
[2026-07-05T05:39:07.867Z] GET http://localhost:8471/media/heliopause.mp4 → 206 (?ms, ?B)
[2026-07-05T05:39:07.867Z] GET http://localhost:8471/media/trappist.mp4 → 206 (?ms, ?B)
[2026-07-05T05:39:07.867Z] GET http://localhost:8471/media/rogue.mp4 → 206 (3ms, ?B)
[2026-07-05T05:39:07.867Z] GET http://localhost:8471/media/finale.mp4 → 206 (3ms, ?B)
[2026-07-05T05:39:11.854Z] GET http://localhost:8471/media/jupiter.mp4 → 206 (1ms, ?B)
[2026-07-05T05:39:11.857Z] GET http://localhost:8471/media/jupiter.mp4 → 206 (?ms, ?B)
[2026-07-05T05:39:11.911Z] GET http://localhost:8471/media/jupiter.mp4 → 206 (1ms, ?B)
[2026-07-05T05:39:11.912Z] GET http://localhost:8471/media/jupiter.mp4 → 206 (1ms, -244B)
[2026-07-05T05:39:13.346Z] GET http://localhost:8471/media/saturn.mp4 → 206 (?ms, ?B)
[2026-07-05T05:39:13.347Z] GET http://localhost:8471/media/saturn.mp4 → 206 (?ms, ?B)
[2026-07-05T05:39:13.403Z] GET http://localhost:8471/media/saturn.mp4 → 206 (1ms, ?B)
[2026-07-05T05:39:13.419Z] GET http://localhost:8471/media/saturn.mp4 → 206 (?ms, -248B)
